ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
068E652C488E6D0103C2369852C6E420,068E652C488E6D01D2926B4A93469951,2020-02-20 00:00:00,001,颗粒物,4.61,20,,0,0,2020-02-21T09:19:28.68,2020-02-21T09:19:30.01,20200220
068E652C488E6D0103C2369852C6E420,068E652C488E6D01D2926B4A93469951,2020-02-20 00:00:00,002,二氧化硫,4.43,80,通讯中断,0,0,2020-02-21T09:19:28.68,2020-02-21T09:19:30.01,20200220
068E652C488E6D0103C2369852C6E420,068E652C488E6D01D2926B4A93469951,2020-02-20 00:00:00,003,氮氧化物,114.05,250,,0,0,2020-02-21T09:19:28.68,2020-02-21T09:19:30.01,20200220
068E652C488E6D0103C2369852C6E420,068E652C488E6D01D2926B4A93469951,2020-02-20 00:00:00,004,一氧化碳,0.14,80,,0,0,2020-02-21T09:19:28.68,2020-02-21T09:19:30.01,20200220
068E652C488E6D0103C2369852C6E420,068E652C488E6D01D2926B4A93469951,2020-02-20 00:00:00,008,氯化氢,5.21,50,,0,0,2020-02-21T09:19:28.68,2020-02-21T09:19:30.01,20200220
068E652C488E6D0103C2369852C6E420,068E652C488E6D015EEE112CAF2FD696,2020-02-20 00:00:00,001,颗粒物,1.44,20,,0,0,2020-02-21T09:19:28.68,2020-02-21T09:19:30.01,20200220
068E652C488E6D0103C2369852C6E420,068E652C488E6D015EEE112CAF2FD696,2020-02-20 00:00:00,002,二氧化硫,2.84,80,,0,0,2020-02-21T09:19:28.68,2020-02-21T09:19:30.01,20200220
068E652C488E6D0103C2369852C6E420,068E652C488E6D015EEE112CAF2FD696,2020-02-20 00:00:00,003,氮氧化物,112.42,250,,0,0,2020-02-21T09:19:28.68,2020-02-21T09:19:30.01,20200220
068E652C488E6D0103C2369852C6E420,068E652C488E6D015EEE112CAF2FD696,2020-02-20 00:00:00,004,一氧化碳,0.03,80,,0,0,2020-02-21T09:19:28.68,2020-02-21T09:19:30.01,20200220
068E652C488E6D0103C2369852C6E420,068E652C488E6D015EEE112CAF2FD696,2020-02-20 00:00:00,008,氯化氢,5.65,50,,0,0,2020-02-21T09:19:28.68,2020-02-21T09:19:30.01,20200220
