ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
8609CB94471AA9B69C462B3A1CC64D77,8609CB94471AA9B6ECA79EF007314618,2020-02-05 00:00:00,001,颗粒物,6.02,20,,0,0,2020-02-06T09:21:36.35,2020-02-06T09:22:03.523,20200205
8609CB94471AA9B69C462B3A1CC64D77,8609CB94471AA9B6ECA79EF007314618,2020-02-05 00:00:00,002,二氧化硫,0.72,80,,0,0,2020-02-06T09:21:36.35,2020-02-06T09:22:03.523,20200205
8609CB94471AA9B69C462B3A1CC64D77,8609CB94471AA9B6ECA79EF007314618,2020-02-05 00:00:00,003,氮氧化物,172.16,250,,0,0,2020-02-06T09:21:36.35,2020-02-06T09:22:03.523,20200205
8609CB94471AA9B69C462B3A1CC64D77,8609CB94471AA9B6ECA79EF007314618,2020-02-05 00:00:00,004,一氧化碳,3.8,80,,0,0,2020-02-06T09:21:36.35,2020-02-06T09:22:03.523,20200205
8609CB94471AA9B69C462B3A1CC64D77,8609CB94471AA9B6ECA79EF007314618,2020-02-05 00:00:00,008,氯化氢,21.0,50,,0,0,2020-02-06T09:21:36.35,2020-02-06T09:22:03.523,20200205
8609CB94471AA9B69C462B3A1CC64D77,8609CB94471AA9B6C19E6C34897F6126,2020-02-05 00:00:00,001,颗粒物,8.05,20,,0,0,2020-02-06T09:21:36.35,2020-02-06T09:22:03.523,20200205
8609CB94471AA9B69C462B3A1CC64D77,8609CB94471AA9B6C19E6C34897F6126,2020-02-05 00:00:00,002,二氧化硫,2.62,80,,0,0,2020-02-06T09:21:36.35,2020-02-06T09:22:03.523,20200205
8609CB94471AA9B69C462B3A1CC64D77,8609CB94471AA9B6C19E6C34897F6126,2020-02-05 00:00:00,003,氮氧化物,161.84,250,,0,0,2020-02-06T09:21:36.35,2020-02-06T09:22:03.523,20200205
8609CB94471AA9B69C462B3A1CC64D77,8609CB94471AA9B6C19E6C34897F6126,2020-02-05 00:00:00,004,一氧化碳,1.76,80,,0,0,2020-02-06T09:21:36.35,2020-02-06T09:22:03.523,20200205
8609CB94471AA9B69C462B3A1CC64D77,8609CB94471AA9B6C19E6C34897F6126,2020-02-05 00:00:00,008,氯化氢,10.59,50,,0,0,2020-02-06T09:21:36.35,2020-02-06T09:22:03.523,20200205
